region,size,variant,beta,k,avg_mse,n,d
OD,256,raw,0.01,5,0.0026063987325232944,1745,196608
OD,256,raw,0.05,1,0.006589939139975518,1745,196608
OD,256,raw,0.1,1,0.006589939139975518,1745,196608
OD,256,cov,0.01,593,0.00014527628076847185,1745,196608
OD,256,cov,0.05,85,0.0007224652683139986,1745,196608
OD,256,cov,0.1,18,0.0014417314341553303,1745,196608
OD,256,cor,0.01,701,0.0001385229393313243,1745,196608
OD,256,cor,0.05,144,0.0005539824699568487,1745,196608
OD,256,cor,0.1,39,0.00107189145334129,1745,196608
OD,512,raw,0.01,9,0.0020148073975085755,1745,786432
OD,512,raw,0.05,1,0.007498661066479305,1745,786432
OD,512,raw,0.1,1,0.007498661066479305,1745,786432
OD,512,cov,0.01,747,0.0001499517948420962,1745,786432
OD,512,cov,0.05,84,0.0007488088394090917,1745,786432
OD,512,cov,0.1,16,0.0015010660010769806,1745,786432
OD,512,cor,0.01,851,0.00016292948462602743,1745,786432
OD,512,cor,0.05,182,0.000561040450054743,1745,786432
OD,512,cor,0.1,39,0.0010683092600892812,1745,786432
FOVEA,256,raw,0.01,2,0.0011579387311564818,1745,196608
FOVEA,256,raw,0.05,1,0.0021871173638697452,1745,196608
FOVEA,256,raw,0.1,1,0.0021871173638697452,1745,196608
FOVEA,256,cov,0.01,161,0.00011573547931919951,1745,196608
FOVEA,256,cov,0.05,5,0.0005035789630090268,1745,196608
FOVEA,256,cov,0.1,2,0.0011224161289141309,1745,196608
FOVEA,256,cor,0.01,469,9.006092852113169e-05,1745,196608
FOVEA,256,cor,0.05,19,0.00024696463272473644,1745,196608
FOVEA,256,cor,0.1,6,0.0004548275838815096,1745,196608
FOVEA,512,raw,0.01,3,0.0011701805342732438,1745,786432
FOVEA,512,raw,0.05,1,0.003165400091562253,1745,786432
FOVEA,512,raw,0.1,1,0.003165400091562253,1745,786432
FOVEA,512,cov,0.01,424,0.00012166652752401409,1745,786432
FOVEA,512,cov,0.05,7,0.0005997051978563852,1745,786432
FOVEA,512,cov,0.1,3,0.0011297494777920366,1745,786432
FOVEA,512,cor,0.01,646,0.00011652685138561479,1745,786432
FOVEA,512,cor,0.05,40,0.0003200576349794011,1745,786432
FOVEA,512,cor,0.1,7,0.0006080792380680099,1745,786432
