image_id,od_x,od_y,eye,fovea_x,fovea_y
20051020_43808_0100_PP,1081.767494303515,725.7407738081088,R,557.9348172104967,722.0977612511986
20051020_43832_0100_PP,343.05779536815277,634.8730810054304,L,863.6033363255551,712.0124513312123
20051020_43882_0100_PP,1038.2143063582976,647.2663133982835,R,541.7433652659048,706.7691602560393
20051020_43906_0100_PP,369.7698467999143,668.8726121319307,L,871.6074910131247,712.1013764733196
20051020_44261_0100_PP,1186.470163144063,764.7239697753672,R,668.0269920668294,830.6196363404943
20051020_44284_0100_PP,352.43758055212857,635.1985374410456,L,859.7075590313719,706.6775541047276
20051020_44338_0100_PP,1105.5575169112333,697.0811985318495,R,556.6622527409778,724.4448052063598
20051020_44349_0100_PP,341.4295439952083,725.8558268214748,L,866.2717197150586,722.4238630704755
20051020_44400_0100_PP,1083.5897768852235,704.8809396312678,R,558.459833716812,719.3597865613838
20051020_44431_0100_PP,336.6058787562403,677.0365158868291,L,848.687671393969,727.3789488071877
20051020_44598_0100_PP,401.4608267227142,656.0725208815827,L,883.5151444466104,719.7902805250529
20051020_44636_0100_PP,1011.6588459205709,635.9157608633727,R,547.2939800278228,725.2784051703115
20051020_44692_0100_PP,1047.8085347622052,668.7385720308306,R,557.5569968745693,708.8252683727038
20051020_44714_0100_PP,240.19692916318098,537.7235718717253,L,724.1869929427961,625.053242956601
20051020_44762_0100_PP,1101.8442725642674,671.6733913387832,R,559.9124622218161,715.0159604349741
20051020_44782_0100_PP,353.9035701981126,665.9446630774065,L,882.1106437755608,731.5384117009896
20051020_44901_0100_PP,1051.0877728236724,660.707361508412,R,549.3053047802701,723.5123222479787
20051020_44923_0100_PP,356.3061977270199,686.986290915984,L,870.6273200303688,719.8963554726693
20051020_44982_0100_PP,1097.384436794718,665.5212697309737,R,559.184123217698,719.997304577762
20051020_45004_0100_PP,352.9631811258642,629.6124620066955,L,871.517728552508,723.6753748082265
20051020_45050_0100_PP,1019.9334082841871,677.8940743887799,R,539.0965905559483,734.0133525408874
20051020_45068_0100_PP,381.88947790078896,666.333589466984,L,884.9086993118849,699.8237418972572
20051020_45110_0100_PP,1086.917184099682,726.2139273614699,R,576.2204752655828,737.1506401293284
20051020_45137_0100_PP,323.4575347530018,655.0244745540971,L,847.1390129117209,723.4842540182092
20051020_53062_0100_PP,1075.2997642110304,714.0182599043698,R,556.2547913962884,735.003685024176
20051020_53178_0100_PP,188.15129407642917,729.9424782933986,L,699.5616647958705,766.5932419390192
20051020_54209_0100_PP,1126.7599701677907,661.5012499516008,R,616.4340133843257,723.0480736514514
20051020_55346_0100_PP,886.6156867804237,646.8838273036687,R,1366.5326769709495,684.71929575654
20051020_55701_0100_PP,1062.6826724687196,673.7611465299293,R,556.7894976968383,717.141074800907
20051020_56592_0100_PP,375.06573878130894,632.9525038227135,L,875.2307404715925,713.3515916788026
20051020_56791_0100_PP,1074.2299252546206,633.4190423027625,R,556.8082370834056,719.0397027436366
20051020_57157_0100_PP,346.5616764218966,691.5618957310561,L,874.2005240712444,718.3151567013138
20051020_57566_0100_PP,1098.4640066673383,699.5288235881852,R,558.4785872901556,728.5635864948363
20051020_57622_0100_PP,347.21110160013086,752.9707615877435,L,874.8574594583429,757.9897159798984
20051020_57761_0100_PP,1091.764653856924,728.0592084524936,R,559.1861935386694,742.4165043828903
20051020_57844_0100_PP,328.91705425822875,662.476697149398,L,861.7211037173996,758.962600553697
20051020_57967_0100_PP,1254.7906177566774,646.9463490600268,R,721.7400152632555,706.2198157867743
20051020_58065_0100_PP,210.81926662734236,620.1756675806766,L,724.4439770444984,705.8151339238522
20051020_58214_0100_PP,1109.3316698256733,647.9928377306331,R,562.7783288422532,725.7544963377273
20051020_58276_0100_PP,336.6445264437153,672.216256471706,L,880.7537202660508,718.7776354032331
20051020_61757_0100_PP,1099.1772076726324,693.1244673479695,R,557.9004353655126,733.3085258162163
20051020_61804_0100_PP,341.2463466641164,625.9376962415962,L,867.1160315713498,727.4541347861838
20051020_61998_0100_PP,1039.8308827049502,694.8128648673553,R,569.9558242220368,749.9822396989432
20051020_62014_0100_PP,457.71014948247733,674.7705742330995,L,901.1836018903024,736.9144688571596
20051020_62337_0100_PP,1074.6934380975579,676.7468784864117,R,558.5600430911985,718.5315318311655
20051020_62385_0100_PP,356.2377659236484,707.4678912666121,L,861.2556986278306,732.8899862262883
20051020_62461_0100_PP,1062.9515971407438,679.9192153959394,R,547.996708819988,729.9792386179834
20051020_62510_0100_PP,379.9868018251721,628.9172926723942,L,885.3719446975024,718.0706682222647
20051020_62577_0100_PP,1068.7813419222757,651.6487651740126,R,552.4860887698418,721.4869003381341
20051020_62615_0100_PP,338.6801091598121,655.7077676961061,L,862.1015663877849,720.8611098105875
20051020_62709_0100_PP,1272.5266144390425,665.4478788584881,R,743.4047989043613,755.109118774415
20051020_62802_0100_PP,140.77718496940352,651.6201632370747,L,667.0658757593194,634.941324151553
20051020_62878_0100_PP,196.8351380226974,605.570349605861,L,719.8362530743534,688.2128144096679
20051020_63045_0100_PP,1095.5904401307766,714.0801278956093,R,554.7482440002497,727.9992759866565
20051020_63269_0100_PP,1037.7526442485253,701.0630443117316,R,557.8744556146029,730.915376289414
20051020_63337_0100_PP,401.5729871088583,682.0507414807986,L,872.9338960939247,729.820957105181
20051020_63711_0100_PP,1068.4367441456634,639.2408917296663,R,557.0604370927064,720.0955221783123
20051020_63829_0100_PP,350.5468964111874,655.8553899650937,L,861.834571801094,717.229743498251
20051020_63936_0100_PP,1009.6045397336742,710.3185256802393,R,551.0755876206528,734.9394682694568
20051020_64007_0100_PP,244.68038540478273,734.1877184078133,L,702.0526010040217,797.5603990390632
20051020_64249_0100_PP,1066.183762585198,657.0754317666812,R,560.6648591782027,719.3514010334044
20051020_64388_0100_PP,344.9256888281262,650.5241896809384,L,855.5756252674678,743.011923406491
20051020_64518_0100_PP,1045.1497440964085,653.0938796173194,R,561.1792013105114,742.2365776933744
20051020_64570_0100_PP,409.4717846116399,721.5031246706534,L,860.8264116058804,742.2230953018479
20051020_64653_0100_PP,1078.0590619734417,671.8652618540418,R,556.6816696379558,739.5305097117888
20051020_64703_0100_PP,353.13720536259956,667.2066367429684,L,856.3237035054481,739.9936141862329
20051020_64775_0100_PP,1197.208505683194,595.4961968615249,R,710.9365573671067,702.4104365026295
20051020_64836_0100_PP,402.5721185363493,635.2635285941383,L,879.304444176169,723.8148748765929
20051020_64945_0100_PP,968.2828587565277,722.6728084250758,R,547.050767810196,726.3647842786643
20051020_64993_0100_PP,433.21392175765135,656.6282220906144,L,870.2634000109574,712.3615863825939
20051020_65166_0100_PP,1035.5767842700957,613.1384252215888,R,559.5290179391255,717.628592363016
20051020_65230_0100_PP,386.93311576554856,654.6947948460116,L,856.3995631850713,706.7640719780945
20051021_36097_0100_PP,1040.3832307514135,727.8169904571403,R,542.5670323090212,720.9358514790689
20051021_36208_0100_PP,385.1932635368214,640.2087232077964,L,865.933484736709,723.551907133946
20051021_36380_0100_PP,1055.940465802136,784.0369200582606,R,566.5721035110752,790.6773824795913
20051021_36476_0100_PP,390.025147656757,622.1753175703841,L,871.4701032010981,717.8135895019882
20051021_39222_0100_PP,1086.8239214891032,648.0138251306367,R,557.2024676012178,733.7836737426147
20051021_39314_0100_PP,169.0220963391025,674.4654239519132,L,717.198853847665,701.5094427506452
20051021_39482_0100_PP,1238.5762748162686,652.3025728194335,R,702.5029458986802,700.4588116579121
20051021_39552_0100_PP,334.4660741508966,707.1052274243885,L,829.3598314536882,775.9724577337313
20051021_39661_0100_PP,1045.1249129694936,688.9490803134846,R,548.849425613051,727.1964246497251
20051021_39719_0100_PP,371.28247814021006,632.8388682461523,L,848.2396986583497,726.0844830480075
20051021_39845_0100_PP,1208.6412100378768,753.1143508679156,R,706.0253078515553,800.1627679100885
20051021_39914_0100_PP,366.2786480327347,677.4333035694784,L,863.4639403109481,730.6213124583193
20051021_40018_0100_PP,1038.8295134506518,641.8455209287894,R,562.5390820813475,724.3423104775823
20051021_40074_0100_PP,427.75002216464407,615.7120931144015,L,884.5626891534499,718.9127286568649
20051021_40180_0100_PP,1248.1182815364468,649.3681151805813,R,712.5509104674023,714.1149946003478
20051021_40248_0100_PP,368.33880539836605,668.833840452483,L,877.3299051383011,728.98165658135
20051021_40377_0100_PP,1078.4018049823528,674.4579572526892,R,561.6450497862725,727.502803121037
20051021_40450_0100_PP,384.73116442541095,629.9462257590777,L,878.8649186164192,717.7071770896559
20051021_51418_0100_PP,1056.8349477727986,684.2385076079495,R,555.2685166989814,727.6765800770858
20051021_51476_0100_PP,382.1259229573557,694.48890940478,L,876.8520611498235,723.8876586373918
20051021_51561_0100_PP,1087.9176671332712,734.8260583361603,R,559.8804401246757,736.8185418350058
20051021_51625_0100_PP,361.49076876228276,618.0160169977897,L,879.0244805383603,724.3739310150241
